item,date,value,demand
Aquarium (Knife),2026-07-17,0.3,1
Aquarium (Knife),2026-07-24,0.3,1
Aquarium (Knife),2026-07-27,0.3,1
Aquarium (Knife),2026-07-28,0.3,1
Aquarium (Knife),2026-07-30,0.3,1
Aquarium (Knife),2026-07-31,0.3,1
Aquarium (Knife),2026-08-03,0.3,1
Aquarium (Knife),2026-08-04,0.3,1
Aquarium (Knife),2026-08-05,0.3,1
Aquarium (Knife),2026-08-06,0.3,1
Aquarium (Knife),2026-08-07,0.3,1
Aquarium (Knife),2026-08-08,0.3,1
Aquarium (Knife),2026-08-09,0.3,1
Aquarium (Knife),2026-08-10,0.3,1
Aquarium (Knife),2026-08-11,0.3,1
Aquarium (Knife),2026-08-13,0.3,1
Aquarium (Knife),2026-08-14,0.3,1
Aquarium (Knife),2026-08-15,0.3,1
Aquarium (Knife),2026-08-16,0.3,1
Aquarium (Knife),2026-08-17,0.3,1
Aquarium (Knife),2026-08-18,0.3,1
Aquarium (Knife),2026-08-19,0.3,1
Aquarium (Knife),2026-08-20,0.3,1
Aquarium (Knife),2026-08-21,0.3,1
Aquarium (Knife),2026-08-22,0.3,1
Aquarium (Knife),2026-08-24,0.3,1
Aquarium (Knife),2026-08-25,0.3,1
Aquarium (Knife),2026-08-30,0.3,1
Aquarium (Knife),2026-09-02,0.3,1
Aquarium (Knife),2026-09-03,0.3,1
Aquarium (Knife),2026-09-04,0.3,1
Aquarium (Knife),2026-09-05,0.3,1
Aquarium (Knife),2026-09-06,0.3,1
Aquarium (Knife),2026-09-07,0.3,1
Aquarium (Knife),2026-09-12,0.3,1
Aquarium (Knife),2026-09-17,0.3,1
Aquarium (Knife),2026-09-18,0.3,1
Aquarium (Knife),2026-09-19,0.3,1
Aquarium (Knife),2026-09-20,0.3,1
Arctic (Gun),2025-04-13,3,
Arctic (Gun),2025-04-15,4,
Arctic (Gun),2025-11-24,4,2
Arctic (Gun),2025-12-02,4,2
Arctic (Gun),2025-12-04,4,2
Arctic (Gun),2025-12-08,4,2
Arctic (Gun),2025-12-21,4,2
Arctic (Gun),2025-12-23,4,2
Arctic (Gun),2025-12-24,4,2
Arctic (Gun),2025-12-26,4,2
Arctic (Gun),2025-12-28,4,2
Arctic (Gun),2025-12-30,4,2
Arctic (Gun),2026-01-14,5,
Arctic (Gun),2026-01-15,5,2
Arctic (Gun),2026-01-16,5,2
Arctic (Gun),2026-02-19,5,2
Arctic (Gun),2026-02-27,5,2
Arctic (Gun),2026-02-28,5,2
Arctic (Gun),2026-03-06,5,2
Arctic (Gun),2026-03-09,5,2
Arctic (Gun),2026-03-15,5,2
Arctic (Gun),2026-04-14,5,2
Arctic (Gun),2026-05-09,5,2
Arctic (Gun),2026-05-14,5,2
Arctic (Gun),2026-06-17,7,
Arctic (Gun),2026-06-21,7,2
Arctic (Gun),2026-06-22,10,
Arctic (Gun),2026-06-26,10,2
Arctic (Gun),2026-07-02,10,2
Arctic (Gun),2026-07-03,10,2
Arctic (Gun),2026-07-05,10,2
Arctic (Gun),2026-07-06,10,2
Arctic (Gun),2026-07-09,10,2
Arctic (Gun),2026-07-10,10,2
Arctic (Gun),2026-07-12,10,2
Arctic (Gun),2026-07-14,10,2
Arctic (Gun),2026-07-17,10,2
Arctic (Gun),2026-07-24,10,2
Arctic (Gun),2026-07-27,10,2
Arctic (Gun),2026-07-28,10,2
Arctic (Gun),2026-07-30,10,2
Arctic (Gun),2026-07-31,10,2
Arctic (Gun),2026-08-03,10,2
Arctic (Gun),2026-08-04,10,2
Arctic (Gun),2026-08-05,10,2
Arctic (Gun),2026-08-06,10,2
Arctic (Gun),2026-08-07,10,2
Arctic (Gun),2026-08-08,10,2
Arctic (Gun),2026-08-09,10,2
Arctic (Gun),2026-08-10,10,2
Arctic (Gun),2026-08-11,10,2
Arctic (Gun),2026-08-13,10,2
Arctic (Gun),2026-08-14,10,2
Arctic (Gun),2026-08-15,10,2
Arctic (Gun),2026-08-16,10,2
Arctic (Gun),2026-08-17,10,2
Arctic (Gun),2026-08-18,10,2
Arctic (Gun),2026-08-19,10,2
Arctic (Gun),2026-08-20,10,2
Arctic (Gun),2026-08-21,10,2
Arctic (Gun),2026-08-22,10,2
Arctic (Gun),2026-08-24,10,2
Arctic (Gun),2026-08-25,10,2
Arctic (Gun),2026-08-30,10,2
Arctic (Gun),2026-09-02,10,2
Arctic (Gun),2026-09-03,10,2
Arctic (Gun),2026-09-04,10,2
Arctic (Gun),2026-09-05,10,2
Arctic (Gun),2026-09-06,10,2
Arctic (Gun),2026-09-07,10,2
Arctic (Gun),2026-09-12,10,2
Arctic (Gun),2026-09-17,10,2
Arctic (Gun),2026-09-18,10,2
Arctic (Gun),2026-09-19,10,2
Arctic (Gun),2026-09-20,10,2
Arctic (Knife),2025-11-24,0.3,2
Arctic (Knife),2025-12-02,0.3,2
Arctic (Knife),2025-12-04,0.3,2
Arctic (Knife),2025-12-08,0.3,2
Arctic (Knife),2025-12-21,0.3,2
Arctic (Knife),2025-12-23,0.3,2
Arctic (Knife),2025-12-24,0.3,2
Arctic (Knife),2025-12-26,0.3,2
Arctic (Knife),2025-12-28,0.3,2
Arctic (Knife),2025-12-30,0.3,2
Arctic (Knife),2026-01-14,0.6,
Arctic (Knife),2026-01-15,0.45,2
Arctic (Knife),2026-01-16,0.45,2
Arctic (Knife),2026-02-19,0.45,2
Arctic (Knife),2026-02-27,0.45,2
Arctic (Knife),2026-02-28,0.45,2
Arctic (Knife),2026-03-06,0.45,2
Arctic (Knife),2026-03-09,0.45,2
Arctic (Knife),2026-03-14,0.8,
Arctic (Knife),2026-03-15,0.6,2
Arctic (Knife),2026-04-14,0.6,2
Arctic (Knife),2026-05-09,0.6,2
Arctic (Knife),2026-05-14,0.6,2
Arctic (Knife),2026-06-21,0.6,2
Arctic (Knife),2026-06-22,0.6,2
Arctic (Knife),2026-06-26,0.6,2
Arctic (Knife),2026-07-02,0.6,2
Arctic (Knife),2026-07-03,0.6,2
Arctic (Knife),2026-07-05,0.6,2
Arctic (Knife),2026-07-06,0.6,2
Arctic (Knife),2026-07-09,0.6,2
Arctic (Knife),2026-07-10,0.6,2
Arctic (Knife),2026-07-12,0.6,2
Arctic (Knife),2026-07-14,0.6,2
Arctic (Knife),2026-07-17,0.6,2
Arctic (Knife),2026-07-24,0.6,2
Arctic (Knife),2026-07-27,0.6,2
Arctic (Knife),2026-07-28,0.6,2
Arctic (Knife),2026-07-30,0.6,2
Arctic (Knife),2026-07-31,0.6,2
Arctic (Knife),2026-08-03,0.6,2
Arctic (Knife),2026-08-04,0.6,2
Arctic (Knife),2026-08-05,0.6,2
Arctic (Knife),2026-08-06,0.6,2
Arctic (Knife),2026-08-07,0.6,2
Arctic (Knife),2026-08-08,0.6,2
Arctic (Knife),2026-08-09,0.6,2
Arctic (Knife),2026-08-10,0.6,2
Arctic (Knife),2026-08-11,0.6,2
Arctic (Knife),2026-08-13,0.6,2
Arctic (Knife),2026-08-14,0.6,2
Arctic (Knife),2026-08-15,0.6,2
Arctic (Knife),2026-08-16,0.6,2
Arctic (Knife),2026-08-17,0.6,2
Arctic (Knife),2026-08-18,0.6,2
Arctic (Knife),2026-08-19,0.6,2
Arctic (Knife),2026-08-20,0.6,2
Arctic (Knife),2026-08-21,0.6,2
Arctic (Knife),2026-08-22,0.6,2
Arctic (Knife),2026-08-24,0.6,2
Arctic (Knife),2026-08-25,0.6,2
Arctic (Knife),2026-08-30,0.6,2
Arctic (Knife),2026-09-02,0.6,2
Arctic (Knife),2026-09-03,0.6,2
Arctic (Knife),2026-09-04,0.6,2
Arctic (Knife),2026-09-05,0.6,2
Arctic (Knife),2026-09-06,0.6,2
Arctic (Knife),2026-09-07,0.6,2
Arctic (Knife),2026-09-12,0.6,2
Arctic (Knife),2026-09-17,0.6,2
Arctic (Knife),2026-09-18,0.6,2
Arctic (Knife),2026-09-19,0.6,2
Arctic (Knife),2026-09-20,0.6,2
Aurora (Gun),2023-10-15,2,
Aurora (Gun),2024-04-24,3,
Aurora (Gun),2024-05-26,4,
Aurora (Gun),2024-11-30,5,
Aurora (Gun),2024-12-06,6,
Aurora (Gun),2025-04-13,7,
Aurora (Gun),2025-04-15,8,
Aurora (Gun),2025-11-24,8,2
Aurora (Gun),2025-12-02,8,2
Aurora (Gun),2025-12-04,8,2
Aurora (Gun),2025-12-08,8,2
Aurora (Gun),2025-12-21,8,2
Aurora (Gun),2025-12-23,8,2
Aurora (Gun),2025-12-24,8,2
Aurora (Gun),2025-12-26,8,2
Aurora (Gun),2025-12-28,8,2
Aurora (Gun),2025-12-30,8,2
Aurora (Gun),2026-01-11,10,
Aurora (Gun),2026-01-15,10,2
Aurora (Gun),2026-01-16,10,2
Aurora (Gun),2026-02-19,10,2
Aurora (Gun),2026-02-27,10,2
Aurora (Gun),2026-02-28,10,2
Aurora (Gun),2026-03-04,12,
Aurora (Gun),2026-03-06,12,2
Aurora (Gun),2026-03-09,12,2
Aurora (Gun),2026-03-15,12,2
Aurora (Gun),2026-03-16,13,
Aurora (Gun),2026-04-14,13,2
Aurora (Gun),2026-05-09,13,2
Aurora (Gun),2026-05-14,13,2
Aurora (Gun),2026-05-24,15,
Aurora (Gun),2026-05-25,25,
Aurora (Gun),2026-05-27,30,
Aurora (Gun),2026-06-03,35,
Aurora (Gun),2026-06-06,40,
Aurora (Gun),2026-06-07,45,
Aurora (Gun),2026-06-14,50,
Aurora (Gun),2026-06-17,55,
Aurora (Gun),2026-06-19,60,
Aurora (Gun),2026-06-21,60,3
Aurora (Gun),2026-06-22,70,
Aurora (Gun),2026-06-24,80,
Aurora (Gun),2026-06-26,80,3
Aurora (Gun),2026-06-27,90,
Aurora (Gun),2026-07-02,90,3
Aurora (Gun),2026-07-03,90,3
Aurora (Gun),2026-07-05,85,
Aurora (Gun),2026-07-06,85,3
Aurora (Gun),2026-07-07,80,
Aurora (Gun),2026-07-09,75,
Aurora (Gun),2026-07-10,75,3
Aurora (Gun),2026-07-12,70,
Aurora (Gun),2026-07-13,65,
Aurora (Gun),2026-07-14,65,3
Aurora (Gun),2026-07-16,60,
Aurora (Gun),2026-07-17,60,3
Aurora (Gun),2026-07-21,55,
Aurora (Gun),2026-07-24,55,3
Aurora (Gun),2026-07-27,55,3
Aurora (Gun),2026-07-28,55,3
Aurora (Gun),2026-07-30,55,3
Aurora (Gun),2026-07-31,55,3
Aurora (Gun),2026-08-03,50,
Aurora (Gun),2026-08-04,50,2
Aurora (Gun),2026-08-05,50,2
Aurora (Gun),2026-08-06,50,2
Aurora (Gun),2026-08-07,50,2
Aurora (Gun),2026-08-08,50,2
Aurora (Gun),2026-08-09,50,2
Aurora (Gun),2026-08-10,45,
Aurora (Gun),2026-08-11,45,2
Aurora (Gun),2026-08-13,45,2
Aurora (Gun),2026-08-14,45,2
Aurora (Gun),2026-08-15,45,2
Aurora (Gun),2026-08-16,45,2
Aurora (Gun),2026-08-17,45,2
Aurora (Gun),2026-08-18,45,2
Aurora (Gun),2026-08-19,45,2
Aurora (Gun),2026-08-20,45,2
Aurora (Gun),2026-08-21,45,2
Aurora (Gun),2026-08-22,45,2
Aurora (Gun),2026-08-24,45,2
Aurora (Gun),2026-08-25,45,2
Aurora (Gun),2026-08-30,45,2
Aurora (Gun),2026-09-02,45,2
Aurora (Gun),2026-09-03,45,2
Aurora (Gun),2026-09-04,45,2
Aurora (Gun),2026-09-05,45,2
Aurora (Gun),2026-09-06,45,2
Aurora (Gun),2026-09-07,45,2
Aurora (Gun),2026-09-12,45,2
Aurora (Gun),2026-09-17,45,2
Aurora (Gun),2026-09-18,45,2
Aurora (Gun),2026-09-19,45,2
Aurora (Gun),2026-09-20,45,2
Aurora (Knife),2024-12-06,0.6,
Aurora (Knife),2025-11-24,0.45,2
Aurora (Knife),2025-12-02,0.45,2
Aurora (Knife),2025-12-04,0.45,2
Aurora (Knife),2025-12-08,0.45,2
Aurora (Knife),2025-12-21,0.45,2
Aurora (Knife),2025-12-23,0.45,2
Aurora (Knife),2025-12-24,0.45,2
Aurora (Knife),2025-12-26,0.45,2
Aurora (Knife),2025-12-28,0.45,2
Aurora (Knife),2025-12-30,0.45,2
Aurora (Knife),2026-01-14,0.8,
Aurora (Knife),2026-01-15,0.6,2
Aurora (Knife),2026-01-16,0.6,2
Aurora (Knife),2026-02-19,0.6,2
Aurora (Knife),2026-02-27,0.6,2
Aurora (Knife),2026-02-28,0.6,2
Aurora (Knife),2026-03-06,0.6,2
Aurora (Knife),2026-03-09,0.6,2
Aurora (Knife),2026-03-14,1,
Aurora (Knife),2026-03-15,1,2
Aurora (Knife),2026-03-16,2,
Aurora (Knife),2026-04-14,2,2
Aurora (Knife),2026-05-09,2,2
Aurora (Knife),2026-05-14,2,2
Aurora (Knife),2026-05-24,3,
Aurora (Knife),2026-06-21,3,2
Aurora (Knife),2026-06-22,3,2
Aurora (Knife),2026-06-26,3,2
Aurora (Knife),2026-07-02,3,2
Aurora (Knife),2026-07-03,3,2
Aurora (Knife),2026-07-05,3,2
Aurora (Knife),2026-07-06,3,2
Aurora (Knife),2026-07-09,3,2
Aurora (Knife),2026-07-10,3,2
Aurora (Knife),2026-07-12,3,2
Aurora (Knife),2026-07-14,3,2
Aurora (Knife),2026-07-17,3,2
Aurora (Knife),2026-07-24,3,2
Aurora (Knife),2026-07-27,3,2
Aurora (Knife),2026-07-28,3,2
Aurora (Knife),2026-07-30,3,2
Aurora (Knife),2026-07-31,3,2
Aurora (Knife),2026-08-03,3,2
Aurora (Knife),2026-08-04,3,2
Aurora (Knife),2026-08-05,3,2
Aurora (Knife),2026-08-06,3,2
Aurora (Knife),2026-08-07,3,2
Aurora (Knife),2026-08-08,3,2
Aurora (Knife),2026-08-09,3,2
Aurora (Knife),2026-08-10,3,2
Aurora (Knife),2026-08-11,3,2
Aurora (Knife),2026-08-13,3,2
Aurora (Knife),2026-08-14,3,2
Aurora (Knife),2026-08-15,3,2
Aurora (Knife),2026-08-16,3,2
Aurora (Knife),2026-08-17,3,2
Aurora (Knife),2026-08-18,3,2
Aurora (Knife),2026-08-19,3,2
Aurora (Knife),2026-08-20,3,2
Aurora (Knife),2026-08-21,3,2
Aurora (Knife),2026-08-22,3,2
Aurora (Knife),2026-08-24,3,2
Aurora (Knife),2026-08-25,3,2
Aurora (Knife),2026-08-30,3,2
Aurora (Knife),2026-09-02,3,2
Aurora (Knife),2026-09-03,3,2
Aurora (Knife),2026-09-04,3,2
Aurora (Knife),2026-09-05,3,2
Aurora (Knife),2026-09-06,3,2
Aurora (Knife),2026-09-07,3,2
Aurora (Knife),2026-09-12,3,2
Aurora (Knife),2026-09-17,3,2
Aurora (Knife),2026-09-18,3,2
Aurora (Knife),2026-09-19,3,2
Aurora (Knife),2026-09-20,3,2
Beach,2023-07-11,300,
Beach,2023-07-12,250,
Beach,2023-07-15,200,
Beach,2023-07-19,150,
Beach,2023-07-20,125,
Beach,2023-07-23,100,
Beach,2023-07-24,90,
Beach,2023-07-27,75,
Beach,2023-07-29,70,
Beach,2023-08-01,60,
Beach,2023-08-02,55,
Beach,2023-08-05,50,
Beach,2023-08-07,45,
Beach,2023-08-12,40,
Beach,2023-08-13,30,
Beach,2023-08-16,20,
Beach,2023-08-18,15,
Beach,2023-08-20,8,
Beach,2023-08-21,5,
Beach,2023-08-24,3,
Beach,2023-08-28,2,
Beach,2023-10-15,1,
Beach,2024-03-29,2,
Beach,2024-04-24,3,
Beach,2024-10-16,5,
Beach,2024-10-20,6,
Beach,2024-10-23,8,
Beach,2024-10-26,10,
Beach,2024-10-28,12,
Beach,2024-10-30,15,
Beach,2024-11-03,20,
Beach,2024-11-08,22,
Beach,2024-11-10,25,
Beach,2025-01-03,30,
Beach,2025-01-26,35,
Beach,2025-02-14,30,
Beach,2025-06-29,25,
Beach,2025-07-05,20,
Beach,2025-07-21,15,
Beach,2025-09-17,12,
Beach,2025-09-23,10,
Beach,2025-10-15,12,
Beach,2025-10-19,13,
Beach,2025-11-24,13,2
Beach,2025-12-02,13,2
Beach,2025-12-04,13,2
Beach,2025-12-08,13,2
Beach,2025-12-21,13,2
Beach,2025-12-23,13,2
Beach,2025-12-24,13,2
Beach,2025-12-26,13,2
Beach,2025-12-28,13,2
Beach,2025-12-30,13,2
Beach,2026-01-11,15,
Beach,2026-01-15,15,2
Beach,2026-01-16,15,2
Beach,2026-01-18,17,
Beach,2026-01-20,20,
Beach,2026-01-22,25,
Beach,2026-02-15,30,
Beach,2026-02-19,30,2
Beach,2026-02-27,30,2
Beach,2026-02-28,30,2
Beach,2026-03-06,30,2
Beach,2026-03-09,30,2
Beach,2026-03-15,30,2
Beach,2026-04-14,30,2
Beach,2026-05-09,30,2
Beach,2026-05-14,30,2
Beach,2026-06-21,30,2
Beach,2026-06-22,30,2
Beach,2026-06-26,30,2
Beach,2026-07-02,30,2
Beach,2026-07-03,30,2
Beach,2026-07-05,30,2
Beach,2026-07-06,30,2
Beach,2026-07-07,35,
Beach,2026-07-09,35,2
Beach,2026-07-10,35,2
Beach,2026-07-12,35,2
Beach,2026-07-14,35,2
Beach,2026-07-17,35,2
Beach,2026-07-24,35,2
Beach,2026-07-27,35,2
Beach,2026-07-28,35,2
Beach,2026-07-30,35,2
Beach,2026-07-31,35,2
Beach,2026-08-03,35,2
Beach,2026-08-04,35,2
Beach,2026-08-05,35,2
Beach,2026-08-06,35,2
Beach,2026-08-07,35,2
Beach,2026-08-08,35,2
Beach,2026-08-09,35,2
Beach,2026-08-10,35,2
Beach,2026-08-11,35,2
Beach,2026-08-13,35,2
Beach,2026-08-14,35,2
Beach,2026-08-15,35,2
Beach,2026-08-16,35,2
Beach,2026-08-17,35,2
Beach,2026-08-18,35,2
Beach,2026-08-19,35,2
Beach,2026-08-20,35,2
Beach,2026-08-21,35,2
Beach,2026-08-22,35,2
Beach,2026-08-24,35,2
Beach,2026-08-25,35,2
Beach,2026-08-30,35,2
Beach,2026-09-02,35,2
Beach,2026-09-03,35,2
Beach,2026-09-04,35,2
Beach,2026-09-05,35,2
Beach,2026-09-06,35,2
Beach,2026-09-07,35,2
Beach,2026-09-12,35,2
Beach,2026-09-17,35,2
Beach,2026-09-18,35,2
Beach,2026-09-19,35,2
Beach,2026-09-20,35,2
Blue Elite,2020-08-26,2,
Blue Elite,2021-11-22,5,
Blue Elite,2021-12-13,8,
Blue Elite,2022-01-08,10,
Blue Elite,2022-03-14,15,
Blue Elite,2023-06-01,12,
Blue Elite,2023-08-28,10,
Blue Elite,2023-10-15,8,
Blue Elite,2023-11-01,7,
Blue Elite,2025-02-07,6,
Blue Elite,2025-04-13,5,
Blue Elite,2025-05-21,4,
Blue Elite,2025-09-17,3,
Blue Elite,2025-11-24,3,1
Blue Elite,2025-12-02,3,1
Blue Elite,2025-12-04,3,1
Blue Elite,2025-12-08,3,1
Blue Elite,2025-12-21,3,1
Blue Elite,2025-12-23,3,1
Blue Elite,2025-12-24,3,1
Blue Elite,2025-12-26,3,1
Blue Elite,2025-12-28,3,1
Blue Elite,2025-12-30,3,1
Blue Elite,2026-01-15,3,1
Blue Elite,2026-01-16,3,1
Blue Elite,2026-02-19,3,1
Blue Elite,2026-02-27,3,1
Blue Elite,2026-02-28,3,1
Blue Elite,2026-03-06,3,1
Blue Elite,2026-03-09,3,1
Blue Elite,2026-03-15,3,1
Blue Elite,2026-04-14,3,1
Blue Elite,2026-05-09,3,1
Blue Elite,2026-05-14,3,1
Blue Elite,2026-06-21,3,1
Blue Elite,2026-06-22,3,1
Blue Elite,2026-06-26,3,1
Blue Elite,2026-07-02,3,1
Blue Elite,2026-07-03,3,1
Blue Elite,2026-07-05,3,1
Blue Elite,2026-07-06,3,1
Blue Elite,2026-07-09,3,1
Blue Elite,2026-07-10,3,1
Blue Elite,2026-07-12,3,1
Blue Elite,2026-07-14,3,1
Blue Elite,2026-07-17,3,1
Blue Elite,2026-07-24,3,1
Blue Elite,2026-07-27,3,1
Blue Elite,2026-07-28,3,1
Blue Elite,2026-07-30,3,1
Blue Elite,2026-07-31,3,1
Blue Elite,2026-08-03,3,1
Blue Elite,2026-08-04,3,1
Blue Elite,2026-08-05,3,1
Blue Elite,2026-08-06,3,1
Blue Elite,2026-08-07,3,1
Blue Elite,2026-08-08,3,1
Blue Elite,2026-08-09,3,1
Blue Elite,2026-08-10,3,1
Blue Elite,2026-08-11,3,1
Blue Elite,2026-08-13,3,1
Blue Elite,2026-08-14,3,1
Blue Elite,2026-08-15,3,1
Blue Elite,2026-08-16,3,1
Blue Elite,2026-08-17,3,1
Blue Elite,2026-08-18,3,1
Blue Elite,2026-08-19,3,1
Blue Elite,2026-08-20,3,1
Blue Elite,2026-08-21,3,1
Blue Elite,2026-08-22,3,1
Blue Elite,2026-08-24,3,1
Blue Elite,2026-08-25,3,1
Blue Elite,2026-08-30,3,1
Blue Elite,2026-09-02,3,1
Blue Elite,2026-09-03,3,1
Blue Elite,2026-09-04,3,1
Blue Elite,2026-09-05,3,1
Blue Elite,2026-09-06,3,1
Blue Elite,2026-09-07,3,1
Blue Elite,2026-09-12,3,1
Blue Elite,2026-09-17,3,1
Blue Elite,2026-09-18,3,1
Blue Elite,2026-09-19,3,1
Blue Elite,2026-09-20,3,1
Blue Scratch,2020-08-26,3,
Blue Scratch,2021-11-22,30,
Blue Scratch,2021-11-23,35,
Blue Scratch,2021-11-28,40,
Blue Scratch,2021-12-13,45,
Blue Scratch,2022-02-03,50,
Blue Scratch,2022-02-16,55,
Blue Scratch,2022-03-07,45,
Blue Scratch,2022-03-14,40,
Blue Scratch,2022-04-02,35,
Blue Scratch,2022-05-19,30,
Blue Scratch,2022-06-18,25,
Blue Scratch,2022-07-06,22,
Blue Scratch,2022-07-11,20,
Blue Scratch,2022-07-28,18,
Blue Scratch,2022-08-11,15,
Blue Scratch,2022-12-12,10,
Blue Scratch,2023-06-01,8,
Blue Scratch,2023-08-20,7,
Blue Scratch,2023-08-28,5,
Blue Scratch,2023-10-15,3,
Blue Scratch,2025-02-07,2,
Blue Scratch,2025-11-24,2,1
Blue Scratch,2025-12-02,2,1
Blue Scratch,2025-12-04,2,1
Blue Scratch,2025-12-08,2,1
Blue Scratch,2025-12-21,2,1
Blue Scratch,2025-12-23,2,1
Blue Scratch,2025-12-24,2,1
Blue Scratch,2025-12-26,2,1
Blue Scratch,2025-12-28,2,1
Blue Scratch,2025-12-30,2,1
Blue Scratch,2026-01-15,2,1
Blue Scratch,2026-01-16,2,1
